Timestamp (s),Power (mW)
2025-03-28 01:47:10.954556,3.38
2025-03-28 01:47:10.990978,3.42
2025-03-28 01:47:11.026699,3.40
2025-03-28 01:47:11.061923,3.52
2025-03-28 01:47:11.097664,3.39
2025-03-28 01:47:11.132668,3.39
2025-03-28 01:47:11.168172,3.35
2025-03-28 01:47:11.203262,3.38
2025-03-28 01:47:11.238706,3.37
2025-03-28 01:47:11.273901,3.52
2025-03-28 01:47:11.309097,3.39
2025-03-28 01:47:11.344114,3.51
2025-03-28 01:47:11.379334,3.36
2025-03-28 01:47:11.416095,3.35
2025-03-28 01:47:11.451250,3.55
2025-03-28 01:47:11.486481,3.36
2025-03-28 01:47:11.521514,3.52
2025-03-28 01:47:11.556715,3.39
2025-03-28 01:47:11.591786,3.50
2025-03-28 01:47:11.626995,3.35
2025-03-28 01:47:11.662137,3.37
2025-03-28 01:47:11.697602,3.36
2025-03-28 01:47:11.732637,3.36
2025-03-28 01:47:11.767681,3.37
2025-03-28 01:47:11.802781,3.51
2025-03-28 01:47:11.837981,3.37
2025-03-28 01:47:11.873043,3.35
2025-03-28 01:47:11.908583,3.35
2025-03-28 01:47:11.943666,3.53
2025-03-28 01:47:11.978889,3.80
2025-03-28 01:47:12.014214,3.82
2025-03-28 01:47:12.049979,3.38
2025-03-28 01:47:12.085211,3.55
2025-03-28 01:47:12.120474,3.35
2025-03-28 01:47:12.156535,3.51
2025-03-28 01:47:12.191683,3.38
2025-03-28 01:47:12.226780,3.42
2025-03-28 01:47:12.261905,3.50
2025-03-28 01:47:12.297416,3.36
2025-03-28 01:47:12.332650,3.69
2025-03-28 01:47:12.367710,3.63
2025-03-28 01:47:12.402923,3.57
2025-03-28 01:47:12.437929,3.40
2025-03-28 01:47:12.472975,3.51
2025-03-28 01:47:12.508614,3.35
2025-03-28 01:47:12.545133,3.66
2025-03-28 01:47:12.580148,3.52
2025-03-28 01:47:12.615523,3.34
2025-03-28 01:47:12.651190,3.50
2025-03-28 01:47:12.686579,3.36
2025-03-28 01:47:12.721681,3.35
2025-03-28 01:47:12.756833,3.50
2025-03-28 01:47:12.792023,3.36
2025-03-28 01:47:12.827097,3.50
2025-03-28 01:47:12.862353,3.35
2025-03-28 01:47:12.897459,3.35
2025-03-28 01:47:12.932562,3.34
2025-03-28 01:47:12.968100,3.33
2025-03-28 01:47:13.003262,3.76
2025-03-28 01:47:13.038773,3.36
2025-03-28 01:47:13.073846,3.49
2025-03-28 01:47:13.109022,3.50
2025-03-28 01:47:13.146592,3.69
2025-03-28 01:47:13.182528,3.57
2025-03-28 01:47:13.218207,3.34
2025-03-28 01:47:13.253356,3.34
2025-03-28 01:47:13.288513,3.56
2025-03-28 01:47:13.323659,3.41
2025-03-28 01:47:13.358878,4.01
2025-03-28 01:47:13.393598,3.49
2025-03-28 01:47:13.428865,3.34
2025-03-28 01:47:13.463971,3.49
2025-03-28 01:47:13.499229,3.50
2025-03-28 01:47:13.536764,3.38
2025-03-28 01:47:13.571809,3.35
2025-03-28 01:47:13.606893,3.51
2025-03-28 01:47:13.642164,3.85
2025-03-28 01:47:13.677230,3.63
2025-03-28 01:47:13.712961,3.35
2025-03-28 01:47:13.748046,3.37
2025-03-28 01:47:13.783102,3.53
2025-03-28 01:47:13.818858,3.35
2025-03-28 01:47:13.854058,3.49
2025-03-28 01:47:13.889776,3.38
2025-03-28 01:47:13.924906,3.73
2025-03-28 01:47:13.960351,4.40
2025-03-28 01:47:13.995029,3.71
2025-03-28 01:47:14.030263,3.50
2025-03-28 01:47:14.065555,3.35
2025-03-28 01:47:14.100720,3.33
2025-03-28 01:47:14.135865,3.37
2025-03-28 01:47:14.171986,3.36
2025-03-28 01:47:14.207098,3.34
2025-03-28 01:47:14.242236,3.47
2025-03-28 01:47:14.277501,3.37
