1718764266.2715378,45443101,1397157902
1718766336.4554849,45483977,1397314280
1718766576.6623492,45518148,1397413938
1718766895.4460754,45554025,1397514193
1718767879.5756524,45589602,1397632329
1718778244.130518,45692306,1399115304
1718778751.1050105,45736684,1399240216
1718778776.7276561,45767407,1399332393
1718778798.015776,45797882,1399424494
1718778825.335959,45828444,1399516406
1718778972.6478,45859787,1399616841
1718779614.4145403,45956618,1401679443
1718780331.8005235,53147378,1433939289
1718781453.5824645,53192093,1434087159
1718781946.1214764,53911221,1466296586
1718782495.084373,61062634,1498550297
