Timestamp (s),Power (mW)
2025-03-27 14:48:26.681014,3.91
2025-03-27 14:48:26.717539,3.97
2025-03-27 14:48:26.753066,3.54
2025-03-27 14:48:26.788718,3.55
2025-03-27 14:48:26.824510,3.52
2025-03-27 14:48:26.860098,3.51
2025-03-27 14:48:26.895784,3.51
2025-03-27 14:48:26.931574,3.49
2025-03-27 14:48:26.966788,3.52
2025-03-27 14:48:27.002466,3.54
2025-03-27 14:48:27.037625,3.52
2025-03-27 14:48:27.072816,3.53
2025-03-27 14:48:27.108088,3.55
2025-03-27 14:48:27.143451,3.51
2025-03-27 14:48:27.178646,3.51
2025-03-27 14:48:27.213898,3.54
2025-03-27 14:48:27.249110,3.50
2025-03-27 14:48:27.284745,3.54
2025-03-27 14:48:27.319988,3.54
2025-03-27 14:48:27.355178,3.51
2025-03-27 14:48:27.390266,3.51
2025-03-27 14:48:27.425477,3.54
2025-03-27 14:48:27.462517,4.14
2025-03-27 14:48:27.497695,3.53
2025-03-27 14:48:27.532950,3.54
2025-03-27 14:48:27.568067,3.51
2025-03-27 14:48:27.603263,3.51
2025-03-27 14:48:27.638342,3.51
2025-03-27 14:48:27.673501,3.50
2025-03-27 14:48:27.708686,3.54
2025-03-27 14:48:27.745789,3.53
2025-03-27 14:48:27.781543,3.50
2025-03-27 14:48:27.816755,3.67
2025-03-27 14:48:27.851933,3.51
2025-03-27 14:48:27.887094,3.52
2025-03-27 14:48:27.922267,3.56
2025-03-27 14:48:27.957476,3.51
2025-03-27 14:48:27.992695,3.52
2025-03-27 14:48:28.027808,3.55
2025-03-27 14:48:28.062940,3.49
2025-03-27 14:48:28.098071,3.74
2025-03-27 14:48:28.133243,3.49
2025-03-27 14:48:28.168516,3.53
2025-03-27 14:48:28.203616,3.52
2025-03-27 14:48:28.239495,3.51
2025-03-27 14:48:28.274557,3.51
2025-03-27 14:48:28.309678,3.50
2025-03-27 14:48:28.344878,3.52
2025-03-27 14:48:28.380070,3.87
2025-03-27 14:48:28.415107,3.51
2025-03-27 14:48:28.450242,3.50
2025-03-27 14:48:28.485271,3.53
2025-03-27 14:48:28.520421,3.50
2025-03-27 14:48:28.555562,3.52
2025-03-27 14:48:28.590683,3.55
2025-03-27 14:48:28.625833,3.55
2025-03-27 14:48:28.660967,3.51
2025-03-27 14:48:28.696098,3.51
2025-03-27 14:48:28.731241,3.51
2025-03-27 14:48:28.766409,3.51
2025-03-27 14:48:28.801542,3.51
2025-03-27 14:48:28.836693,3.75
2025-03-27 14:48:28.871782,3.50
2025-03-27 14:48:28.906867,3.53
2025-03-27 14:48:28.942090,3.50
2025-03-27 14:48:28.977194,3.50
2025-03-27 14:48:29.012379,3.50
2025-03-27 14:48:29.047481,3.50
2025-03-27 14:48:29.082587,3.50
2025-03-27 14:48:29.117606,3.49
2025-03-27 14:48:29.152856,3.56
2025-03-27 14:48:29.187944,3.50
2025-03-27 14:48:29.223043,3.53
2025-03-27 14:48:29.258138,3.52
2025-03-27 14:48:29.293278,3.52
2025-03-27 14:48:29.328441,3.52
2025-03-27 14:48:29.364625,3.50
2025-03-27 14:48:29.399754,3.50
2025-03-27 14:48:29.435890,3.52
2025-03-27 14:48:29.471055,3.50
2025-03-27 14:48:29.506175,3.50
2025-03-27 14:48:29.541394,3.51
2025-03-27 14:48:29.576537,3.50
2025-03-27 14:48:29.611704,3.50
2025-03-27 14:48:29.646783,3.52
2025-03-27 14:48:29.681883,3.51
2025-03-27 14:48:29.717023,3.51
2025-03-27 14:48:29.752128,3.49
2025-03-27 14:48:29.787287,3.51
2025-03-27 14:48:29.823475,3.50
2025-03-27 14:48:29.858569,3.50
2025-03-27 14:48:29.893586,3.51
2025-03-27 14:48:29.928793,3.61
2025-03-27 14:48:29.963950,3.51
2025-03-27 14:48:29.999131,3.51
2025-03-27 14:48:30.034202,3.50
2025-03-27 14:48:30.069392,3.53
2025-03-27 14:48:30.104424,3.51
2025-03-27 14:48:30.139597,3.50
2025-03-27 14:48:30.174872,3.57
2025-03-27 14:48:30.209963,3.53
2025-03-27 14:48:30.245125,3.50
2025-03-27 14:48:30.280248,3.53
2025-03-27 14:48:30.315402,3.50
2025-03-27 14:48:30.350508,3.52
2025-03-27 14:48:30.385719,3.52
2025-03-27 14:48:30.420798,3.54
2025-03-27 14:48:30.455944,3.52
2025-03-27 14:48:30.490975,3.50
2025-03-27 14:48:30.526065,3.54
2025-03-27 14:48:30.561233,3.51
2025-03-27 14:48:30.596332,3.52
2025-03-27 14:48:30.631445,3.53
2025-03-27 14:48:30.666617,3.49
2025-03-27 14:48:30.701635,3.51
2025-03-27 14:48:30.736795,3.54
2025-03-27 14:48:30.772096,3.49
2025-03-27 14:48:30.807217,3.51
2025-03-27 14:48:30.842401,3.49
2025-03-27 14:48:30.877479,3.53
2025-03-27 14:48:30.912608,3.52
2025-03-27 14:48:30.947762,3.53
2025-03-27 14:48:30.983015,3.49
2025-03-27 14:48:31.018147,3.51
2025-03-27 14:48:31.053369,3.50
2025-03-27 14:48:31.088403,3.51
2025-03-27 14:48:31.123522,3.51
2025-03-27 14:48:31.158740,3.56
2025-03-27 14:48:31.193920,3.50
2025-03-27 14:48:31.229090,3.51
2025-03-27 14:48:31.265264,3.51
2025-03-27 14:48:31.300386,3.50
2025-03-27 14:48:31.335567,3.50
2025-03-27 14:48:31.370673,3.51
2025-03-27 14:48:31.405883,3.50
2025-03-27 14:48:31.440969,3.49
2025-03-27 14:48:31.476032,3.52
2025-03-27 14:48:31.511210,3.50
2025-03-27 14:48:31.546372,3.48
2025-03-27 14:48:31.581557,3.49
2025-03-27 14:48:31.616697,3.50
2025-03-27 14:48:31.651743,3.51
2025-03-27 14:48:31.686853,3.51
2025-03-27 14:48:31.721859,3.53
2025-03-27 14:48:31.756995,3.50
2025-03-27 14:48:31.792206,3.51
2025-03-27 14:48:31.827325,3.52
2025-03-27 14:48:31.862412,3.50
2025-03-27 14:48:31.897553,3.50
2025-03-27 14:48:31.932639,3.48
2025-03-27 14:48:31.967833,3.71
2025-03-27 14:48:32.002930,3.53
2025-03-27 14:48:32.038079,3.49
2025-03-27 14:48:32.073224,3.49
2025-03-27 14:48:32.108352,3.49
2025-03-27 14:48:32.143538,3.50
2025-03-27 14:48:32.178685,3.49
2025-03-27 14:48:32.213848,3.50
2025-03-27 14:48:32.249014,3.53
2025-03-27 14:48:32.284098,3.49
2025-03-27 14:48:32.319263,3.50
2025-03-27 14:48:32.354403,3.50
2025-03-27 14:48:32.389540,3.51
2025-03-27 14:48:32.424677,3.49
2025-03-27 14:48:32.459828,3.59
2025-03-27 14:48:32.494987,3.48
2025-03-27 14:48:32.530053,3.50
2025-03-27 14:48:32.565269,3.54
2025-03-27 14:48:32.602004,3.50
2025-03-27 14:48:32.637190,3.48
2025-03-27 14:48:32.672263,3.51
2025-03-27 14:48:32.707366,3.49
2025-03-27 14:48:32.742530,3.49
2025-03-27 14:48:32.777751,3.56
2025-03-27 14:48:32.812931,3.50
2025-03-27 14:48:32.848081,3.49
2025-03-27 14:48:32.883137,3.54
2025-03-27 14:48:32.918263,3.49
2025-03-27 14:48:32.953399,3.50
2025-03-27 14:48:32.988584,3.49
2025-03-27 14:48:33.023730,3.52
2025-03-27 14:48:33.058922,3.50
2025-03-27 14:48:33.094036,3.52
2025-03-27 14:48:33.129161,3.49
2025-03-27 14:48:33.164219,3.49
2025-03-27 14:48:33.199455,3.50
2025-03-27 14:48:33.235496,3.48
2025-03-27 14:48:33.270554,3.50
2025-03-27 14:48:33.305657,3.50
2025-03-27 14:48:33.340782,3.53
2025-03-27 14:48:33.375935,3.50
2025-03-27 14:48:33.411149,3.50
2025-03-27 14:48:33.446208,3.48
2025-03-27 14:48:33.481379,3.50
2025-03-27 14:48:33.516421,3.51
2025-03-27 14:48:33.551526,3.49
2025-03-27 14:48:33.586795,3.54
2025-03-27 14:48:33.621955,3.50
2025-03-27 14:48:33.657152,3.50
2025-03-27 14:48:33.693874,3.53
2025-03-27 14:48:33.728926,3.53
2025-03-27 14:48:33.763969,3.48
2025-03-27 14:48:33.799156,3.49
2025-03-27 14:48:33.834268,3.51
2025-03-27 14:48:33.869405,3.48
2025-03-27 14:48:33.904413,3.50
2025-03-27 14:48:33.939553,3.49
2025-03-27 14:48:33.974732,3.53
2025-03-27 14:48:34.009957,3.50
2025-03-27 14:48:34.045149,3.49
2025-03-27 14:48:34.080264,3.72
2025-03-27 14:48:34.115366,3.50
2025-03-27 14:48:34.150443,3.50
2025-03-27 14:48:34.185520,3.50
2025-03-27 14:48:34.220708,3.49
2025-03-27 14:48:34.255799,3.58
2025-03-27 14:48:34.290988,3.52
2025-03-27 14:48:34.326026,3.48
2025-03-27 14:48:34.361178,3.50
2025-03-27 14:48:34.396270,3.50
2025-03-27 14:48:34.431452,3.49
2025-03-27 14:48:34.467515,3.49
2025-03-27 14:48:34.503533,3.50
2025-03-27 14:48:34.538564,3.49
2025-03-27 14:48:34.573729,3.48
2025-03-27 14:48:34.608842,3.50
2025-03-27 14:48:34.643996,3.51
2025-03-27 14:48:34.679067,3.51
2025-03-27 14:48:34.714174,3.49
2025-03-27 14:48:34.749232,3.49
2025-03-27 14:48:34.784267,3.51
2025-03-27 14:48:34.819497,3.49
2025-03-27 14:48:34.854549,3.64
2025-03-27 14:48:34.889718,3.51
2025-03-27 14:48:34.924861,3.50
2025-03-27 14:48:34.960057,3.53
2025-03-27 14:48:34.995201,3.49
2025-03-27 14:48:35.030421,3.48
2025-03-27 14:48:35.065525,3.48
2025-03-27 14:48:35.100741,3.47
2025-03-27 14:48:35.135948,3.49
2025-03-27 14:48:35.172681,3.48
2025-03-27 14:48:35.207852,3.50
2025-03-27 14:48:35.242993,3.51
2025-03-27 14:48:35.278085,3.48
2025-03-27 14:48:35.313184,3.52
2025-03-27 14:48:35.348263,3.49
2025-03-27 14:48:35.383352,3.48
2025-03-27 14:48:35.418568,3.50
2025-03-27 14:48:35.453721,3.48
2025-03-27 14:48:35.488896,3.51
2025-03-27 14:48:35.523928,3.49
2025-03-27 14:48:35.559085,3.52
2025-03-27 14:48:35.594356,3.50
2025-03-27 14:48:35.631056,3.51
2025-03-27 14:48:35.666175,3.50
2025-03-27 14:48:35.701340,3.49
