Timestamp (s),Power (mW)
2025-03-27 14:59:29.931685,5.03
2025-03-27 14:59:29.970452,5.32
2025-03-27 14:59:30.006647,3.39
2025-03-27 14:59:30.041967,3.41
2025-03-27 14:59:30.077151,3.53
2025-03-27 14:59:30.112437,3.35
2025-03-27 14:59:30.149170,3.35
2025-03-27 14:59:30.184268,3.52
2025-03-27 14:59:30.219631,3.35
2025-03-27 14:59:30.254812,3.51
2025-03-27 14:59:30.291192,3.35
2025-03-27 14:59:30.326509,3.53
2025-03-27 14:59:30.361815,3.37
2025-03-27 14:59:30.397017,3.35
2025-03-27 14:59:30.432212,3.64
2025-03-27 14:59:30.467992,3.36
2025-03-27 14:59:30.503176,3.52
2025-03-27 14:59:30.538922,3.37
2025-03-27 14:59:30.573991,3.96
2025-03-27 14:59:30.609543,3.59
2025-03-27 14:59:30.644865,3.50
2025-03-27 14:59:30.680689,3.36
2025-03-27 14:59:30.715877,3.49
2025-03-27 14:59:30.751091,3.50
2025-03-27 14:59:30.788611,3.36
2025-03-27 14:59:30.823815,3.44
2025-03-27 14:59:30.858963,3.50
2025-03-27 14:59:30.896047,3.58
2025-03-27 14:59:30.931463,3.58
2025-03-27 14:59:30.967156,3.33
2025-03-27 14:59:31.002264,3.35
2025-03-27 14:59:31.037481,3.50
2025-03-27 14:59:31.072746,3.36
2025-03-27 14:59:31.107898,3.52
2025-03-27 14:59:31.143145,3.37
2025-03-27 14:59:31.178338,3.36
2025-03-27 14:59:31.213502,3.50
2025-03-27 14:59:31.248751,3.45
2025-03-27 14:59:31.283942,3.37
2025-03-27 14:59:31.319041,3.51
2025-03-27 14:59:31.354264,3.39
2025-03-27 14:59:31.389446,3.38
2025-03-27 14:59:31.424614,3.34
2025-03-27 14:59:31.460175,3.38
2025-03-27 14:59:31.495388,3.35
2025-03-27 14:59:31.530508,3.53
2025-03-27 14:59:31.565753,3.65
2025-03-27 14:59:31.600912,3.36
2025-03-27 14:59:31.636065,3.54
2025-03-27 14:59:31.671243,3.36
2025-03-27 14:59:31.706390,3.52
2025-03-27 14:59:31.741637,3.34
2025-03-27 14:59:31.776889,3.54
2025-03-27 14:59:31.812389,3.37
2025-03-27 14:59:31.847644,3.35
2025-03-27 14:59:31.882843,3.54
2025-03-27 14:59:31.918120,3.37
2025-03-27 14:59:31.953195,3.36
2025-03-27 14:59:31.988361,3.65
2025-03-27 14:59:32.024125,3.38
2025-03-27 14:59:32.059384,3.34
2025-03-27 14:59:32.094626,3.53
2025-03-27 14:59:32.130455,3.34
2025-03-27 14:59:32.167346,3.35
2025-03-27 14:59:32.202415,3.54
2025-03-27 14:59:32.237705,3.35
2025-03-27 14:59:32.272895,3.35
2025-03-27 14:59:32.309092,3.38
2025-03-27 14:59:32.344676,3.35
2025-03-27 14:59:32.379830,3.50
2025-03-27 14:59:32.415076,3.37
2025-03-27 14:59:32.450217,3.50
2025-03-27 14:59:32.485526,3.49
2025-03-27 14:59:32.520743,3.39
2025-03-27 14:59:32.555910,3.49
2025-03-27 14:59:32.591138,3.37
2025-03-27 14:59:32.626263,3.36
2025-03-27 14:59:32.661342,3.52
2025-03-27 14:59:32.697050,3.51
2025-03-27 14:59:32.734575,3.36
2025-03-27 14:59:32.769714,3.35
2025-03-27 14:59:32.804793,3.55
2025-03-27 14:59:32.840040,3.37
2025-03-27 14:59:32.875210,3.50
2025-03-27 14:59:32.910498,3.35
2025-03-27 14:59:32.945544,3.50
2025-03-27 14:59:32.980707,3.34
2025-03-27 14:59:33.015831,3.50
2025-03-27 14:59:33.051150,3.35
2025-03-27 14:59:33.086264,3.50
2025-03-27 14:59:33.121525,3.35
2025-03-27 14:59:33.156645,3.36
2025-03-27 14:59:33.191766,3.34
2025-03-27 14:59:33.226865,3.34
2025-03-27 14:59:33.262027,3.55
2025-03-27 14:59:33.297816,3.37
2025-03-27 14:59:33.332982,3.50
2025-03-27 14:59:33.368218,3.35
2025-03-27 14:59:33.403344,3.35
2025-03-27 14:59:33.438496,3.50
2025-03-27 14:59:33.474190,3.37
2025-03-27 14:59:33.509271,3.50
2025-03-27 14:59:33.544540,3.37
2025-03-27 14:59:33.579662,3.34
2025-03-27 14:59:33.614820,3.36
2025-03-27 14:59:33.650003,3.37
2025-03-27 14:59:33.687358,3.35
2025-03-27 14:59:33.722551,3.49
2025-03-27 14:59:33.757753,3.38
2025-03-27 14:59:33.792913,3.35
2025-03-27 14:59:33.828452,3.50
2025-03-27 14:59:33.863688,3.37
2025-03-27 14:59:33.898816,3.37
2025-03-27 14:59:33.933953,3.50
2025-03-27 14:59:33.969622,3.39
2025-03-27 14:59:34.004669,3.51
2025-03-27 14:59:34.039935,3.34
2025-03-27 14:59:34.076822,3.35
2025-03-27 14:59:34.111914,3.50
2025-03-27 14:59:34.147730,3.37
2025-03-27 14:59:34.182889,3.35
2025-03-27 14:59:34.218015,3.51
2025-03-27 14:59:34.253231,3.34
2025-03-27 14:59:34.288360,3.53
2025-03-27 14:59:34.324602,3.35
2025-03-27 14:59:34.359771,3.51
2025-03-27 14:59:34.394986,3.37
2025-03-27 14:59:34.430200,3.51
2025-03-27 14:59:34.465486,3.34
2025-03-27 14:59:34.500607,3.53
2025-03-27 14:59:34.535937,3.36
2025-03-27 14:59:34.572765,3.35
2025-03-27 14:59:34.607797,3.50
2025-03-27 14:59:34.642990,3.34
2025-03-27 14:59:34.678160,3.49
2025-03-27 14:59:34.713424,3.34
2025-03-27 14:59:34.748620,3.51
2025-03-27 14:59:34.783904,3.36
2025-03-27 14:59:34.818972,4.17
2025-03-27 14:59:34.854113,3.34
2025-03-27 14:59:34.889675,3.43
2025-03-27 14:59:34.924769,3.51
2025-03-27 14:59:34.961201,3.91
2025-03-27 14:59:35.000705,4.84
2025-03-27 14:59:35.040299,4.71
2025-03-27 14:59:35.083295,8.85
2025-03-27 14:59:35.123312,5.55
2025-03-27 14:59:35.162295,5.92
2025-03-27 14:59:35.198925,8.28
2025-03-27 14:59:35.235665,5.53
2025-03-27 14:59:35.273225,8.39
2025-03-27 14:59:35.313959,3.92
2025-03-27 14:59:35.355098,3.86
2025-03-27 14:59:35.393106,3.80
2025-03-27 14:59:35.431011,3.82
2025-03-27 14:59:35.472297,4.70
2025-03-27 14:59:35.511296,4.69
2025-03-27 14:59:35.549296,4.64
2025-03-27 14:59:35.585728,8.41
2025-03-27 14:59:35.624617,3.98
2025-03-27 14:59:35.662309,3.89
2025-03-27 14:59:35.702049,3.87
2025-03-27 14:59:35.741449,3.74
2025-03-27 14:59:35.782179,3.84
2025-03-27 14:59:35.824896,3.85
2025-03-27 14:59:35.865740,4.56
2025-03-27 14:59:35.904301,4.56
2025-03-27 14:59:35.940692,4.76
2025-03-27 14:59:35.979287,3.93
2025-03-27 14:59:36.017571,4.18
2025-03-27 14:59:36.055463,3.90
2025-03-27 14:59:36.094158,3.73
