Timestamp (s),Power (mW)
2025-03-27 15:35:54.167292,3.39
2025-03-27 15:35:54.203904,4.08
2025-03-27 15:35:54.239795,3.38
2025-03-27 15:35:54.275060,3.39
2025-03-27 15:35:54.310138,3.38
2025-03-27 15:35:54.345269,3.40
2025-03-27 15:35:54.380366,3.54
2025-03-27 15:35:54.416008,3.37
2025-03-27 15:35:54.451077,3.52
2025-03-27 15:35:54.486772,3.38
2025-03-27 15:35:54.522018,3.37
2025-03-27 15:35:54.557116,3.38
2025-03-27 15:35:54.592746,3.39
2025-03-27 15:35:54.627895,3.53
2025-03-27 15:35:54.663114,3.51
2025-03-27 15:35:54.700591,4.63
2025-03-27 15:35:54.736267,3.38
2025-03-27 15:35:54.773881,3.37
2025-03-27 15:35:54.808971,3.53
2025-03-27 15:35:54.844116,3.38
2025-03-27 15:35:54.879120,3.50
2025-03-27 15:35:54.914175,3.36
2025-03-27 15:35:54.949170,3.40
2025-03-27 15:35:54.984263,3.51
2025-03-27 15:35:55.019386,3.37
2025-03-27 15:35:55.054465,3.37
2025-03-27 15:35:55.089546,3.51
2025-03-27 15:35:55.124753,3.35
2025-03-27 15:35:55.159831,3.40
2025-03-27 15:35:55.194923,3.53
2025-03-27 15:35:55.230083,3.38
2025-03-27 15:35:55.266949,3.38
2025-03-27 15:35:55.301927,3.51
2025-03-27 15:35:55.337070,3.85
2025-03-27 15:35:55.372169,3.56
2025-03-27 15:35:55.407368,3.36
2025-03-27 15:35:55.442464,3.49
2025-03-27 15:35:55.478898,3.56
2025-03-27 15:35:55.513903,3.52
2025-03-27 15:35:55.549085,3.36
2025-03-27 15:35:55.584264,3.37
2025-03-27 15:35:55.619379,3.36
2025-03-27 15:35:55.654442,3.37
2025-03-27 15:35:55.689432,3.36
2025-03-27 15:35:55.724468,3.36
2025-03-27 15:35:55.759505,3.38
2025-03-27 15:35:55.794680,3.59
2025-03-27 15:35:55.830488,3.35
2025-03-27 15:35:55.867524,3.42
2025-03-27 15:35:55.904123,3.36
2025-03-27 15:35:55.939135,3.59
2025-03-27 15:35:55.974823,3.42
2025-03-27 15:35:56.009974,3.50
2025-03-27 15:35:56.045217,3.36
2025-03-27 15:35:56.080263,3.55
2025-03-27 15:35:56.115434,3.38
2025-03-27 15:35:56.150397,3.35
2025-03-27 15:35:56.185645,3.38
2025-03-27 15:35:56.220762,3.37
2025-03-27 15:35:56.255888,3.50
2025-03-27 15:35:56.291049,3.35
2025-03-27 15:35:56.326130,3.35
2025-03-27 15:35:56.361617,3.33
2025-03-27 15:35:56.396768,3.37
2025-03-27 15:35:56.431855,3.50
2025-03-27 15:35:56.467018,3.36
2025-03-27 15:35:56.502013,3.35
2025-03-27 15:35:56.536972,3.50
2025-03-27 15:35:56.572145,3.36
2025-03-27 15:35:56.607329,3.50
2025-03-27 15:35:56.642498,3.36
2025-03-27 15:35:56.677547,3.35
2025-03-27 15:35:56.712540,3.50
2025-03-27 15:35:56.747572,3.39
2025-03-27 15:35:56.782649,3.51
2025-03-27 15:35:56.817905,3.35
2025-03-27 15:35:56.853038,3.40
2025-03-27 15:35:56.888523,3.36
2025-03-27 15:35:56.923482,3.50
2025-03-27 15:35:56.958542,3.38
2025-03-27 15:35:56.993731,3.50
2025-03-27 15:35:57.029417,3.35
2025-03-27 15:35:57.064445,3.37
2025-03-27 15:35:57.099468,3.50
2025-03-27 15:35:57.134508,3.36
2025-03-27 15:35:57.169587,3.36
2025-03-27 15:35:57.205114,3.35
2025-03-27 15:35:57.240115,3.55
2025-03-27 15:35:57.275668,3.36
2025-03-27 15:35:57.312089,3.37
2025-03-27 15:35:57.347198,3.50
2025-03-27 15:35:57.382865,3.36
2025-03-27 15:35:57.418008,3.51
2025-03-27 15:35:57.453207,3.35
2025-03-27 15:35:57.489785,3.34
2025-03-27 15:35:57.525283,3.35
2025-03-27 15:35:57.560430,3.35
2025-03-27 15:35:57.595556,3.34
2025-03-27 15:35:57.631107,3.35
2025-03-27 15:35:57.666101,3.35
2025-03-27 15:35:57.701175,3.52
2025-03-27 15:35:57.736929,3.36
2025-03-27 15:35:57.771929,3.36
2025-03-27 15:35:57.807137,3.51
2025-03-27 15:35:57.842421,3.34
2025-03-27 15:35:57.877517,3.51
2025-03-27 15:35:57.912626,3.35
2025-03-27 15:35:57.947602,3.50
2025-03-27 15:35:57.982806,3.35
2025-03-27 15:35:58.017995,3.35
2025-03-27 15:35:58.053128,3.36
2025-03-27 15:35:58.088187,3.35
2025-03-27 15:35:58.123196,3.51
2025-03-27 15:35:58.158869,3.71
2025-03-27 15:35:58.194072,3.35
2025-03-27 15:35:58.229174,3.51
2025-03-27 15:35:58.264386,3.35
2025-03-27 15:35:58.299461,3.34
2025-03-27 15:35:58.334506,3.53
2025-03-27 15:35:58.369754,3.63
2025-03-27 15:35:58.405138,3.82
2025-03-27 15:35:58.440485,3.65
2025-03-27 15:35:58.475679,3.77
2025-03-27 15:35:58.510909,3.60
2025-03-27 15:35:58.546011,3.77
2025-03-27 15:35:58.581720,3.60
2025-03-27 15:35:58.616887,3.80
2025-03-27 15:35:58.652640,3.60
2025-03-27 15:35:58.687729,3.77
2025-03-27 15:35:58.723485,3.62
2025-03-27 15:35:58.758630,3.71
2025-03-27 15:35:58.794266,3.55
2025-03-27 15:35:58.829393,3.74
2025-03-27 15:35:58.864522,3.54
2025-03-27 15:35:58.899625,3.69
2025-03-27 15:35:58.934760,3.55
2025-03-27 15:35:58.969861,3.58
2025-03-27 15:35:59.004992,3.54
2025-03-27 15:35:59.040583,3.58
2025-03-27 15:35:59.075636,3.71
2025-03-27 15:35:59.111329,3.55
2025-03-27 15:35:59.146375,3.73
2025-03-27 15:35:59.181590,3.72
2025-03-27 15:35:59.216989,3.59
2025-03-27 15:35:59.252138,3.57
2025-03-27 15:35:59.287657,3.62
2025-03-27 15:35:59.322711,3.75
2025-03-27 15:35:59.357862,3.74
2025-03-27 15:35:59.393039,3.76
2025-03-27 15:35:59.428263,3.60
2025-03-27 15:35:59.463264,3.57
2025-03-27 15:35:59.498394,3.77
2025-03-27 15:35:59.533549,3.60
2025-03-27 15:35:59.568464,3.59
2025-03-27 15:35:59.603570,3.76
2025-03-27 15:35:59.638768,3.58
2025-03-27 15:35:59.673783,3.79
2025-03-27 15:35:59.708975,3.61
2025-03-27 15:35:59.745727,3.60
2025-03-27 15:35:59.780807,3.86
2025-03-27 15:35:59.815966,3.78
2025-03-27 15:35:59.851111,3.75
2025-03-27 15:35:59.886264,3.57
2025-03-27 15:35:59.921265,3.76
2025-03-27 15:35:59.956405,3.59
2025-03-27 15:35:59.991440,3.57
2025-03-27 15:36:00.026600,3.61
2025-03-27 15:36:00.062126,3.59
2025-03-27 15:36:00.097180,3.71
2025-03-27 15:36:00.132263,3.58
2025-03-27 15:36:00.167262,3.60
2025-03-27 15:36:00.202266,3.74
2025-03-27 15:36:00.237443,3.64
2025-03-27 15:36:00.272601,3.60
2025-03-27 15:36:00.307619,3.79
2025-03-27 15:36:00.342695,3.66
2025-03-27 15:36:00.377757,3.73
2025-03-27 15:36:00.413597,3.60
2025-03-27 15:36:00.448937,3.77
2025-03-27 15:36:00.484207,3.59
2025-03-27 15:36:00.519352,3.74
2025-03-27 15:36:00.554466,3.64
2025-03-27 15:36:00.589478,3.75
2025-03-27 15:36:00.625112,3.63
2025-03-27 15:36:00.660210,3.63
2025-03-27 15:36:00.695267,3.75
2025-03-27 15:36:00.730447,3.65
2025-03-27 15:36:00.765545,3.62
2025-03-27 15:36:00.800624,3.58
2025-03-27 15:36:00.836112,3.59
2025-03-27 15:36:00.873511,3.79
2025-03-27 15:36:00.908546,3.73
2025-03-27 15:36:00.943740,3.59
2025-03-27 15:36:00.978811,3.77
2025-03-27 15:36:01.014031,3.59
2025-03-27 15:36:01.049143,3.75
2025-03-27 15:36:01.084843,3.62
2025-03-27 15:36:01.121265,3.60
2025-03-27 15:36:01.156572,3.69
2025-03-27 15:36:01.191810,3.55
2025-03-27 15:36:01.226977,3.57
2025-03-27 15:36:01.262207,3.68
2025-03-27 15:36:01.297497,3.53
2025-03-27 15:36:01.334358,3.57
2025-03-27 15:36:01.369556,3.71
2025-03-27 15:36:01.404800,3.52
2025-03-27 15:36:01.440011,3.56
2025-03-27 15:36:01.475164,3.70
2025-03-27 15:36:01.510372,3.53
2025-03-27 15:36:01.545429,3.71
2025-03-27 15:36:01.581637,3.57
2025-03-27 15:36:01.616668,3.81
2025-03-27 15:36:01.651941,3.70
2025-03-27 15:36:01.687156,3.60
2025-03-27 15:36:01.722193,3.69
2025-03-27 15:36:01.757357,3.55
2025-03-27 15:36:01.792494,3.70
2025-03-27 15:36:01.827751,3.62
2025-03-27 15:36:01.862940,3.72
2025-03-27 15:36:01.898486,3.56
2025-03-27 15:36:01.935152,3.54
2025-03-27 15:36:01.970260,3.53
2025-03-27 15:36:02.005773,3.64
2025-03-27 15:36:02.040903,3.68
2025-03-27 15:36:02.076130,3.52
2025-03-27 15:36:02.111218,3.56
2025-03-27 15:36:02.146631,3.53
2025-03-27 15:36:02.181751,3.54
2025-03-27 15:36:02.216870,3.73
2025-03-27 15:36:02.252128,3.53
2025-03-27 15:36:02.287239,4.59
2025-03-27 15:36:02.321953,4.62
2025-03-27 15:36:02.356377,3.74
2025-03-27 15:36:02.392044,3.65
2025-03-27 15:36:02.429022,3.85
